系統,段階,分岐,内部共通枠,レベル+５取得,レベル+１０取得,レベル+１５取得,マスタースキル,備考
戦列兵,下級,-,戦列下級,HP+5,深呼吸(勇気値が減っている場合、2ターンごとに+5回復),武道(技÷2の確率で、物理攻撃威力が2倍になることがる),戦上手(武器装備時HP+5),
戦列兵,上級,攻撃特化,戦列攻撃上級,力+10,必殺+10,軍神(周囲3マス以内にいる味方の基礎8ステ+3),武の神髄(武器装備時攻撃+5、命中+5),
戦列兵,上級,防御特化,戦列防御上級,受け流し(相手の力・魔攻-10),防御+10,守護(デュアルしている相手が稀(発生確率は支援レベル依存)にノーダメージ),守りの神髄(武器装備時防御+5、魔防+5),
術兵,下級,-,術下級,魔法耐性(魔防÷2%で発動、魔法ダメージを半減する。),,魔導(技÷2の確率で、魔法威力2倍になることがある),魔法上手(魔法装備時、魔攻・魔防+2),
術兵,上級,軍師系,術軍師上級,威光(魅力÷2で発動、力・魔攻の威力1.5倍/戦技),魅力+10,詠唱破棄(魔法使用時、MPが半減する),導きの神髄(魅力+5、魔攻+5),
術兵,上級,魔法特化,術魔法上級,魔光(魔攻÷2で発動、魔法攻撃の威力1.5倍/戦技),魔防+10,魔攻+10,魔の神髄(魔法装備時魔攻+5、魔防+5),
騎兵,下級,-,騎兵下級,救援(デュアル時、前衛と後衛の全能力+1),追い込み(追撃発生時与えるダメージ+3),庇う(勇気％の確率でデュアルしている相手を庇い、受けたダメージを半減する),騎乗上手(速さ+5),
騎兵,上級,騎馬,騎馬上級,移動+1,速さ+10,全身全霊(戦技使用時、命中-20、必殺+10),突撃(５マス直線の敵を騎馬でまとめて轢くアタック戦技、力・速さ依存で火力アップ),
騎兵,上級,飛行,飛行上級,移動+2,威圧(相手の命中-10、自分の回避+10),殺戮(ドラゴンライダー)/疾駆(スカイナイト)(自分から攻撃して敵を倒すと、1ターンに1度だけ再行動できる）,ブレス(ユニットから見て正面横３マスの範囲攻撃、魔攻依存で火力アップ),
隠密兵,下級,-,隠密下級,鍵開け(扉や罠や宝箱を解除できる),一攫千金(敵撃破時にちょっとだけお金が増える),忍び足(敵に狙われにくくなる),隠密上手(回避+5、技+5),
隠密兵,上級,暗殺,隠密暗殺上級,技+10,回避+10,伏兵(戦闘開始時、自分のHPが半分以下なら、敵から攻撃された場合も自分から先に攻撃を行う),急所(技÷2で攻撃威力２倍),
隠密兵,上級,遊撃,隠密遊撃上級,砲台術(砲台使用時命中+10),技+10,投擲(1マス以上離れた５マス以内の敵１人を中心に５連ダメージ、装備種類によって物理か魔法か威力判定が変わる、装備÷２の威力×５連ダメージ/戦技),技の神髄(技＋5、命中＋10),
※マスタースキルはその兵種限定のものであり、マスタースキルだけは転職した際には他の兵種にもっていくことはできません。,,,,,,,,
