キャラクター,系統,段階,分岐,内部共通枠,表示兵種名,適性,自力アクセス,名称状態,成長率・通常習得,マスタースキル,因果兵種への持越し,備考,備考２
アルシェ,戦列兵,下級,-,戦列下級,◎王子(そもそも未来のオルクスの王子だし),万能,可,仮案,戦列下級共通,キャラ別・未定,不可,本作マイユニ枠１であり主人公。未来のオルクスの王子であり、表ルートの進行役。オルクス出身なので、オルクス出身者らしい兵種名だが、舞台がアルストロなので、混ざってる。,今作は表ルートのアルストロでの冒険は強ユニット(リングホルム、アルバス)がそろい、裏ルートはオルクスの裏側から仲間をあるめるような構成にしたいため、アルストロの味方ユニットは少な目(難易度調整でユニットを増やす可能性アリ)で、オルクスでの冒険ではシナリオを進めると仲間が自動加入していく方針にしたい。
アルシェ,戦列兵,上級,攻撃特化,戦列攻撃上級,ブレイバー,万能,可,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
アルシェ,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,万能,可,仮案,戦列防御上級共通,キャラ別・未定,不可,,
アルシェ,術兵,下級,-,術下級,魔導師,万能,可,仮案,術下級共通,キャラ別・未定,不可,,
アルシェ,術兵,上級,軍師系,術軍師上級,戦術士,万能,可,仮案,術軍師上級共通,キャラ別・未定,不可,,
アルシェ,術兵,上級,魔法特化,術魔法上級,カラミティ,万能,可,仮案,術魔法上級共通,キャラ別・未定,不可,,
アルシェ,騎兵,下級,-,騎兵下級,ナイト,万能,可,仮案,騎兵下級共通,キャラ別・未定,不可,,
アルシェ,騎兵,上級,騎馬,騎馬上級,パラディン,万能,可,仮案,騎馬上級共通,キャラ別・未定,不可,,
アルシェ,騎兵,上級,飛行,飛行上級,ライダー,万能,可,仮案,飛行上級共通,キャラ別・未定,不可,,
アルシェ,隠密兵,下級,-,隠密下級,斥候,万能,可,仮案,隠密下級共通,キャラ別・未定,不可,,
アルシェ,隠密兵,上級,暗殺,隠密暗殺上級,アサシン,万能,可,仮案,隠密暗殺上級共通,キャラ別・未定,不可,,
アルシェ,隠密兵,上級,遊撃,隠密遊撃上級,シューター,万能,可,仮案,隠密遊撃上級共通,キャラ別・未定,不可,,
アルシェ,専用兵種,専用,専用,専用兵種,★アルシエル,専用,可,ユーザー案,対応力・速さ・両刀,専用,可能,,
リングホルム,戦列兵,下級,-,戦列下級,◎ならずもの(加入時からそもそもならずものだし),得意,可,ユーザー案,戦列下級共通,キャラ別・未定,不可,本作壊れ枠兼ラスボス枠。表ルートの主人公枠。東の大陸から流れてきた異邦人なので、兵種も若干アルストロテイストからはずれている。,
リングホルム,戦列兵,上級,攻撃特化,戦列攻撃上級,傭兵,得意,可,ユーザー案,戦列攻撃上級共通,キャラ別・未定,不可,,
