キャラクター,個人スキル,因果Lv5,因果Lv10,因果Lv15,因果Lv20,因果Lv25,因果Lv30,因果Lv35,因果Lv40,因果Lv45,因果Lv50
アルシェ,"双蛇の逆針
種類：スキル
効果：味方が倒されたり、攻撃を外したりしたとき、一手単位で行動をやり巻き戻せる。１回の戦闘につき、回数は最初3回までだが章が進むごとに1ずつ増える。","黒陽の加護
種類：スキル
効果：獲得兵種経験値1.5倍","両断(戦技)
種類：物理戦技
効果：物理攻撃1.5倍","祈り
種類：スキル
効果：戦闘中、１度だけ幸運%でHPが0になりそうなとき、1耐える。","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","デュアル+
種類：スキル
効果：デュアル発生率+5","カウンター
種類：スキル
効果：(HP上限値+防御)÷4%の確率で、ダメージ受けた際受けたダメージの半分を相手に負わせる","落雷(戦技)
種類：魔法戦技
効果：強烈な雷撃の魔法攻撃、自分の魔攻÷2で相手の追撃・反撃・移動を封じる。","封印(戦技)
種類：魔法戦技
効果：魔防÷2の射程範囲の内の敵１人の移動を封じる","万雷(戦技)
種類：魔法戦技
効果：直線3マス以内の敵を巻き込んで攻撃、自分の魔攻÷2で相手の追撃・反撃・移動を封じる。","奈落の王
種類：スキル
効果：自分の力・魔攻・速さ・魅力+10"
リングホルム,"殺気
種類：スキル
効果：自分から攻撃したとき命中+10・相手の回避−10・必殺+10","黒の一族
種類：スキル
効果：火魔法の命中+20、火魔法の攻撃の際ダメージ1.5倍","召喚「ヒトダマ」(戦技)
種類：魔法戦技
効果：契約している幻獣「ヒトダマ」を召喚する。召喚に2ターンかかる。","円舞(戦技)
種類：物理戦技
効果：攻撃時に、隣接するすべての敵に物理ダメ－ジを与える","死神
種類：スキル
効果：周囲4マス以内の敵の回避・命中-10、速さ-5","カウンター
種類：スキル
効果：(HP上限値+防御)÷4%の確率で、ダメージ受けた際受けたダメージの半分を相手に負わせる","復讐(戦技)
種類：戦技
効果：攻撃時、自分のＨＰの減っている分を威力に加算する
","戦闘指揮
種類：スキル
効果：「戦闘指揮」したターンの味方の命中・回避・必殺・必殺耐性+5","月詠(戦技)
種類：専用戦技
効果：攻撃時、自分を中心とした5マス以内の全ての敵のHPを20%削る","剣の舞
種類：スキル
効果：武器種「剣」装備時、自身の力・魔攻・命中+10","勇者の器
種類：スキル
効果：自分の力・技・速さ・魅力+10"
アルバス,"野望
種類：スキル
効果：相手から攻撃された際、魅力×2で反撃封じ。相手の命中-10・相手の回避−10・必殺+10","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","詠唱破棄
種類：スキル
効果：(魔攻+魔防)÷4の確率で魔法武器耐久とMP消費無し","回復(戦技)
種類：魔法戦技
効果：回復魔法使用時に、回復量×3","王威
種類：スキル
効果：周囲4マス以内の味方の回避・命中・必殺耐性+10","加速(戦技)
種類：魔法戦技
効果：自分または味方が1度再行動できる。","魔法射程+1
種類：スキル
効果：魔法の射程+1","転移(戦技)
種類：魔法戦技
効果：味方を指定した位置に移動できる。範囲は魔力÷2","生命吸収(戦技)
種類：専用戦技
効果：効果：攻撃時、自分を中心とした6マス以内の全ての敵のHPを10%削り、その分自分のHP、MPを回復する。","魔神の器
種類：スキル
効果：武器種「魔法」装備時、自身の魔攻・魔防・命中+10","破滅の王
種類：スキル
効果：自分のHP・魔攻・技・魅力+10"
アン,"頑張り屋
種類：スキル
効果：味方が3マス以内にいると、命中+5","おまけ
種類：スキル
効果：攻撃した際に幸運%で50ジェニー(お金)を獲得できる。","応援
種類：スキル
効果：「応援」した味方の基礎ステ+1","結界(戦技)
種類：魔法戦技
効果：魔防÷2の装甲を2マス以内の自分または味方１人に与える","献身
種類：スキル
効果：隣接する味方の防御・魔防+5","器用
種類：スキル
効果：技・魅力+10","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","気つけ薬
種類：スキル
効果：回復薬の効果+5","デュアル+
種類：スキル
効果：デュアル発生率+5","祈り
種類：スキル
効果：戦闘中、１度だけ幸運%でHPが0になりそうなとき、1耐える",-
フィロ,"エリート
種類：スキル
効果：力・魔防・速さ・魅力+3","白の一族
種類：スキル
効果：氷魔法の命中+20、氷魔法の攻撃の際ダメージ1.5倍","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","先手必勝
種類：スキル
効果：自分から攻撃するとき速さ+5","騎士の矜持
種類：スキル
効果：デュアル時、自分が前衛の場合必殺+10、後衛の場合デュアル相手の防御・魔防+5","破天(戦技)
種類：物理戦技
効果：命中+10、飛行ユニットへのダメージが2倍","封印(戦技)
種類：魔法戦技
効果：魔防÷2の射程範囲の内の敵１人の移動を封じる","冷静
種類：スキル
効果：技・速さ+10","復讐(戦技)
種類：戦技
効果：攻撃時、自分のＨＰの減っている分を威力に加算する","アシスト
種類：スキル
効果：隣接する味方の命中・必殺+5",-
カリマ,"双蛇の逆針
種類：スキル
効果：味方が倒されたり、攻撃を外したりしたとき、一手単位で行動をやり巻き戻せる。１回の戦闘につき、回数は最初3回までだが章が進むごとに1ずつ増える。","白陽の加護
種類：スキル
効果：獲得兵種経験値1.5倍","結界(戦技)
種類：魔法戦技
効果：魔防÷2の装甲を2マス以内の自分または味方１人に与える","祈り
種類：スキル
効果：戦闘中、１度だけ幸運%でHPが0になりそうなとき、1耐える。","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","デュアル+
種類：スキル
効果：デュアル発生率+5","アシスト
種類：スキル
効果：隣接する味方の命中・必殺+5","虚像(戦技)
種類：魔法戦技
効果：相手の命中-20","封印(戦技)
種類：魔法戦技
効果：魔防÷2の射程範囲の内の敵１人の移動を封じる","落雷(戦技)
種類：魔法戦技
効果：強烈な雷撃の魔法攻撃、自分の魔攻÷2で相手の追撃・反撃・移動を封じる。","神炎の器
種類：スキル
効果：自分の防御・魔防・速さ・魅力+10"
ギュンター,"忠誠心
種類：スキル
効果：オルクスの味方が盤面にいるとき全ステ+1、アルバスがいる時は全基礎ステ+2","大振り(戦技)
種類：物理戦技
効果：命中-30、物理ダメージ2倍","召喚「ベルゼブブの眷属」(戦技)
種類：魔法戦技
効果：契約している幻獣「ベルゼブブの眷属」を召喚する。召喚に2ターンかかる。","先手必勝
種類：スキル
効果：自分から攻撃するとき速さ+5","向上心
種類：スキル
効果：力・速さ+5","結界(戦技)
種類：魔法戦技
効果：魔防÷2の装甲を2マス以内の自分または味方１人に与える","大食らい
種類：スキル
効果：敵将への攻撃時必殺+5","破天(戦技)
種類：物理戦技
効果：命中+10、飛行ユニットへのダメージが2倍","奇襲(戦技)
種類：物理戦技
効果：攻撃時相手の回避-50。自分の追撃は発生しない。","転移(戦技)
種類：魔法戦技
効果：味方を指定した位置に移動できる。範囲は魔力÷2",-
ヘンリー,"宣教活動
種類：スキル
効果：味方が３マス以内にいると自分の魔防・魅力+6","黄の一族
種類：スキル
効果：土魔法の命中+20、土魔法の攻撃の際ダメージ1.5倍","召喚「パイモンの眷属」(戦技)
種類：魔法戦技
効果：契約している幻獣「パイモンの眷属」を召喚する。召喚に2ターンかかる。","祝福
種類：スキル
効果：幸運%で発動。自分が攻撃を受けた後、HPが10回復す
る。","結界(戦技)
種類：魔法戦技
効果：魔防÷2の装甲を2マス以内の自分または味方１人に与える","後手必勝
種類：スキル
効果：相手から攻撃された時速さ+5","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","地形無効
種類：スキル
効果：地形から受ける効果を受けない","冷静
種類：スキル
効果：技・速さ+10","封印(戦技)
種類：魔法戦技
効果：魔防÷2の射程範囲の内の敵１人の移動を封じる",-
キャリー,"夜の華
種類：スキル
効果：味方が3マス以内にいると防御・魔防・魅力+3","悪夢(戦技)
種類：魔法戦技
効果：魔法攻撃の際に、相手のHPではなく、相手の勇気値を減らす。","応援
種類：スキル
効果：「応援」した味方の基礎ステ+1","ささやき
種類：スキル
効果：隣接する相手の命中・回避-10","誘惑(戦技)
種類：魔法戦技
効果：1ターンだけ相手の必殺-50、命中-20","気つけ薬
種類：スキル
効果：回復薬の効果+5","虚像(戦技)
種類：魔法戦技
効果：相手の命中-20","器用
種類：スキル
効果：技・魅力+10","復讐(戦技)
種類：戦技
効果：攻撃時、自分のＨＰの減っている分を威力に加算する","詠唱破棄
種類：スキル
効果：(魔攻+魔防)÷4の確率で魔法武器耐久とMP消費無し",-
ラディン,"怠惰
種類：スキル
効果：毎ターン命中・回避が1ずつ上昇
10ターン経過後、効果は切れる","翠の一族
種類：スキル
効果：風魔法の命中+20、風魔法の攻撃の際ダメージ1.5倍","加速(戦技)
種類：魔法戦技
効果：自分または味方が1度再行動できる。","後手必勝
種類：スキル
効果：相手から攻撃された時速さ+5
","英雄
種類：スキル
効果：周囲3マス以内の味方の力・魔攻・速さ・命中+5","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","戦闘指揮
種類：スキル
効果：「戦闘指揮」したターンの味方の命中・回避・必殺・必殺耐性+5","復讐(戦技)
種類：戦技
効果：攻撃時、自分のＨＰの減っている分を威力に加算する","カウンター
種類：スキル
効果：(HP上限値+防御)÷4%の確率で、ダメージ受けた際受けたダメージの半分を相手に負わせる","鎌風(戦技)
種類：戦技
効果：風魔法使用時、(力+魔攻)÷2の威力
",-
サタン,"厄災の王
種類：スキル
効果：相手の回避・命中・必殺・必殺耐性-20","破壊(戦技)
種類：魔法戦技
効果：魔法攻撃のときに、装甲を破壊できる","呪縛
種類：スキル
効果：相手から受けるダメージを半減","魔骸
種類：スキル
効果：自分の装甲+10","詠唱破棄
種類：スキル
効果：(魔攻+魔防)÷4の確率で魔法武器耐久とMP消費無し","召喚「屍兵」(戦技)
種類：魔法戦技
効果：倒された味方の死体を操り再び味方として使役する。召喚に2ターンかかる","闇の霧
種類：スキル
効果：相手から受ける、専用スキル・戦技を無効化","虚像(戦技)
種類：魔法戦技
効果：相手の命中-20","両断(戦技)
種類：物理戦技
効果：物理攻撃1.5倍","怒り
種類：スキル
効果：HP半分以下の時、必殺+10","悪意の邪蛇
種類：スキル
効果：自分の力・魔攻・魔防・技+10"
